russian,zilo,gender,abs.pl,obl.sg,obl.pl,loc,GA,pst,imp,pos,transducer_entry,transducer_lexicon_group
глохнуть,гоъилъери,,,,,,,гоъилъи,гоъилъиб,V,гоъилъери<V>:гоъилъ[thematic-i],Verb
гладить,лъарери,,,,,,,лъари,лъаро,V,"лъарери<V>:лъар[thematic-i,transitive]",Verb
горбиться,къуллонну,,,,,,,къуллон,къуллонно,V,"къуллонну<V>:къулл[nasal,causative]",Verb
гордиться,чӏугьунну,,,,,,,чӏугьун,чӏугьум,V,чӏугьунну<V>:чӏугьу[nasal],Verb
дарить,иччери,,,,,,,иччи,иччо,V,"иччери<V>:ичч[thematic-i,transitive]",Verb
дергать,туркӏунну,,,,,,,туркӏун,туркӏон,V,"туркӏунну<V>:туркӏу[nasal,transitive]",Verb
девушка,йоши,"й, й",йошибол,йошулӏи,йошибалӏи,,,,,N,,
доверчивый,бужуролӏи,,,,,,,,,ADJ,бужуролӏи,Adjective_no_class
достаточно,гьитӏо,,,,,,,,,ADV,гьитӏо,Adverb_no_class
жаркий,букьиб,,,,,,рукьиб,,,ADJ,букьиб:укьиб[b],Adjective_class_prefix
животное,хӏайван,"б, й",хӏайванол,хӏайванулӏи,хӏайваналӏи,,,,,N,,
заблудиться,битӏери,,,,,,"ритӏу, йитӏу, вутӏу, вотӏуй, йотӏуй",битӏу,битӏуб,V,битӏери<V>:тӏ[thematic-u],Verb_class_prefix_i_o
жук,щирщил,"б, й",щирщилол,щирщилулӏи,щирщилалӏи,,,,,N,,
за пазухой,гъвакьу,,,,,,,,,ADV,гъвакьу,Adverb_no_class
задерживать,вугъери,,,,,,,вугъи,вугъиб,V,вугъери<V>:вугъ[thematic-i],Verb
зависть,джахӏда,б,,джахӏдалилӏи,,,,,,N,,
зарплата,харжи,"б, б",харжил,харжиллӏи,харжилилӏи,,,,,N,,
засов,турхасси,"б, б",турхассол,турхассиллӏи,турхассалӏи,,,,,N,,
зачем,иллъиди,,,,,,,,,ADV,иллъиди,Adverb_no_class
зло,тӏу,"р, р",тӏулил,тӏуллӏи,тӏулилилӏи,,,,,N,,
знак,ишара,"б, б",ишардул,ишарулӏи,ишардалӏи,,,,,N,,
зубец,сол,"р, р",солибол,солуллӏи,солбалӏи,,,,,N,,
зурнист,зурмухъан,"в, в",зурмухъамадул,зурмухъаншув,зурмухъамадавул,,,,,N,,
зурнистка,зурмухъан,"й, й",зурмухъамадул,зурмухъанлӏи,зурмухъамадалӏи,,,,,N,,
из-за,сабаблъий,,,,,,,,,POST,,
изобилие,гьарзалъир,"б, б",гьарзалъирол,гьарзалъирлӏи,,,,,,N,,
имущество,реси,б,,,,,,,,N,,
иноходь,йоргъа,б,,,,йоргъалъа,,,,N,,
как,икьи,,,,,,,,,ADV,икьи,Adverb_no_class
катиться,гиригирери,,,,,,,гиригири,гиригириб,V,гиригирери<V>:гиригир[thematic-i],Verb
кирпич,кирпич,"б, б",кирпичол,кирпичулӏи,кирпичалӏи,,,,,N,,
клеймо,анжи,"р, р",анжодул,анжиллӏи,анжодалӏи,,,,,N,,
клубок,кӏошкӏон,"р, р",кӏошкӏомил,кӏошкӏонулӏи,кӏошкӏомалӏи,,,,,N,,
клубок,кӏуцӏцӏа,"р, р",кӏуцӏцӏибол,кӏуцӏцӏаллӏи,кӏуцӏцӏибалӏи,,,,,N,,
ковыряться,сабсашери,,,,,,,сабсашо,сабсашо,V,"сабсашери<V>:сабсаш[thematic-i,transitive]",Verb
ковыряться,хъватӏишери,,,,,,,хъватӏишо,хъватӏишо,V,"хъватӏишери<V>:хъватӏиш[thematic-i,transitive]",Verb
кляча,ича,"б, й",ичил,ичулӏи,ичилӏи,ичуъа,,,,N,,
корка,хъал,б,хъалил,хъалуллӏи,хъалилилӏи,,,,,N,,
крепнуть,къвакӏунну,,,,,,,къвакӏун,къвакӏум,V,къвакӏунну<V>:къвакӏу[nasal],Verb
крик,лъочӏчӏу,"б, б",лъочӏчӏудул,лъочӏчӏуллӏи,лъочӏчӏудалъи,,,,,N,,
круг,гор,"р, р",гордул,горуллӏи,гордалӏи,,,,,N,,
купать,абчери,,,,,,"авчери, айчери",абчо,абчо,V,"абчери:а :ч[thematic-o,transitive]",Verb_class_internal(2)
купаться,абчери,,,,,,"авчери, айчери",абчо,абчо,V,"абчери:а :ч[thematic-o,transitive]",Verb_class_internal(2)
кушать,биконну,,,,,,"йикон, йокон, вукон, вокон, бикон",вукон,вуком,V,биконну<V>:ко[nasal],Verb_class_prefix_i_o
кутан,алахи,"б, б",алахол,алахиллӏи,алахалӏи,алахил.ъо,,,,N,,
ласка,ундурукьи,"б, й",ундурукьил,ундурукьиллӏи,ундурукьилилӏи,,,,,N,,
легко,лъолколъи,,,,,,,,,ADV,лъолколъи,Adverb_no_class
лен,турти,"р, р",туртил,туртилӏи,туртилилӏи,,,,,N,,
летать,бурери,,,,,,,бури,буриб,V,бурери<V>:бур[thematic-i],Verb
лень,кӏвагьаллъир,б,,кӏвагьаллъирлӏи,,,,,,N,,
лепешка,панкъи,"б, б",панкъол,панкъиллӏи,панкъалӏи,,,,,N,,
литр,литра,"р, р",литрал,,,,,,,N,,
лоза,гъалъа,"р, р",гъалъол,гъалъаллӏи,гъалъалилӏи,,,,,N,,
ляжка,ахъу,"б, б",ахъобил,ахъулолӏи,ахъулолӏи,,,,,N,,
магазин,тукен,"б, б",тукемил,тукенулӏи,тукемалӏи,,,,,N,,
макать,оболлу,,,,,,,оболъи,оболло,V,оболлу<V>:об[causative],Verb
макушка,эмийар,"р, р",эмийардул,эмийарулӏи,эмийардалӏи,,,,,N,,
марка,маркӏа,"б, б",маркӏибул,маркӏаллӏи,маркӏибалӏи,,,,,N,,
мастер,устӏар,"в, в",устӏарадул,устӏаршув,устӏарадавул,,,,,N,,
меняться,бершоллу,,,,,,рершоллу,рершолъи,рершолло,V,бершоллу<V>:ерш[causative],Verb_class_prefix
мизинец,бошицӏцӏекӏа,"б, б",бошицӏцӏекӏобил,бошицӏцӏекӏулӏи,бошицӏцӏекӏобалӏи,бошицӏцӏекӏуъа,,,,N,,
миллион,миллион,"б, б",миллиомил,,,,,,,N,,
милосердие,рахӏмат,"б, б",рахӏматол,рахӏматиллӏи,рахӏматалӏи,,,,,N,,
милосердие,рахӏмати,"б, б",рахӏматол,рахӏматиллӏи,рахӏматалӏи,,,,,N,,
мир,дуниял,"б, б",дуниялол,дунияллӏи,дуниялалӏи,,,,,N,,
мирить,рокъоллу,,,,,,,рокъолъи,рокъолло,V,рокъоллу<V>:рокъ[causative],Verb
можжевельник,цӏцӏирлӏи,"б, б",цӏцӏирлӏол,цӏцӏирлӏиллӏи,цӏцӏирлӏолилӏи,,,,,N,,
можно,лъийа,,,,,,,,,ADV,лъийа,Adverb_no_class
морщиниться,бекъиркъанну,,,,,,,бекъиркъан,бекъиркъанно,V,,Verb
морщиться,бекъиркъанну,,,,,,,бекъиркъан,бекъиркъанно,V,,Verb
моток,кӏуцӏа,"р, р",кӏуцӏал,кӏуцӏаллӏи,кӏуцӏалилӏи,,,,,N,,
мстить,бучӏчӏоллу,,,,,,,бучӏчӏолъи,бучӏчӏолло,V,бучӏчӏоллу<V>:бучӏчӏ[causative],Verb
мудрый,акъил,,,,,,,,,ADJ,акъил,Adjective_no_class
мусульманин,буссурман,"в, в",буссурманол,буссурманшуб,буссурманадаб,,,,,N,,
мусульманка,буссурман,"й, й",буссурманол,буссурманлӏи,буссурманадалӏи,,,,,N,,
на виду,гьаъери,,,,,,,,,ADV,гьаъери,Adverb_no_class
навстречу,бади,,,,,,,,,ADV,бади,Adverb_no_class
народ,хал.ъи,б,,,,,,,,N,,
насмехаться,рокӏо булӏери,,,,,,,рокӏо булӏий,,V,,
учение,элму,"р, р",элмудул,элмулӏи,элмудалӏи,,,,,N,,
учение,гӏэлму,"р, р",гӏэлмудул,гӏэлмулӏи,гӏэлмудалӏи,,,,,N,,
немного,мичӏимуха,,,,,,,,,ADV,мичӏимуха,Adverb_no_class
немного,бигьулгуссу,,,,,,,,,ADV,бигьулгуссу,Adverb_no_class
неправильно,битӏиссу,,,,,,,,,ADV,битӏиссу,Adverb_no_class
неприязнь,джахӏда,"б, б",джахӏдал,джахӏдаллӏи,джахӏдалилӏи,,,,,N,,
нефть,набти,"б, б",набтил,набтиллӏи,набтилилӏи,,,,,N,,
ни за что,абада,,,,,,,,,ADV,абада,Adverb_no_class
никуда,себгулолди,,,,,,,,,ADV,себгулолди,Adverb_no_class
ниоткуда,себгулоллъуккуссу,,,,,,,,,ADV,себгулоллъуккуссу,Adverb_no_class
нисколько,себгулоссу,,,,,,,,,ADV,себгулоссу,Adverb_no_class
норма,мадар,,,,,,,,,N,,
ночной,гьечӏодоъосси,,,,,,,,,ADJ,гьечӏодоъосси,Adjective_no_class
"ныть, скулить",зигардери,,,,,,,зигарди,зигардиб,V,зигардери<V>:зигард[thematic-i],Verb
скулить,кӏкӏуннери,,,,,,,кӏкӏунни,кӏкӏунниб,V,кӏкӏуннери<V>:кӏкӏунн[thematic-i],Verb
нужный,къорокъой,,,,,,,,,ADJ,къорокъой,Adjective_no_class
облепиха,гъарцӏцӏи,"р, р",гъарцӏцӏил,гъарцӏцӏиллӏи,гъарцӏцӏилилӏол,,,,,N,,
обыск,цӏцӏиᵸхъин,"б, б",цӏцӏиᵸхъимол,цӏцӏиᵸхъирлӏи,цӏцӏиᵸхъималӏи,,,,,N,,
обычай,адат,"б, б",адатол,адатулӏи,адаталӏи,,,,,N,,
отдельный,батӏа,,,,,,,,,ADJ,батӏа,Adjective_no_class
отдых,шаннир,"р, р",шаннибул,шаннирлӏи,шанниралӏи,,,,,N,,
отдых,гьалхи,,,,,,,,,N,,
отовсюду,инукку имало,,,,,,инукку инало (р); инукку и2йаллоссол; инукку и2валлоссол,,,ADV,,
отсутствие,ссулъир,,,,,,,,,N,,
охота,чониву,,,чонлӏи,,,,,,N,,
палатка,чатир,"б, б",чатирдул,чатирулӏи,чатирдалӏи,,,,,N,,
палочка,жала,"р, р",жалибол,жалулӏи,жалибалӏи,,,,,N,,
папа,дада,"в, в",дадалал,дадав,дадалав,дадаъа,,,,N,дада<obl>:дада,
пачкать,хъубийдери,,,,,,,хъубийди,хъубийдо,V,"хъубийдери<V>:хъубийд[thematic-i,transitive]",Verb
патрон,патрон,"р, р",патромил,патронулӏи,патромалӏи,,,,,N,,
пахота,рекьир,р,,рекьирлӏи,,,,,,N,,
пачкать,чурукийдери,,,,,,,чурукийди,чурукийдо,V,"чурукийдери<V>:чурукийд[thematic-i,transitive]",Verb
пашня,мигъи,"б, б",мигъил,мигъилӏи,мигъилилӏи,,,,,N,,
плач,моъо,"б, б",моъол,моъолӏи,моъолилӏи,,,,,N,,
плевок,тудир,,,,,,,,,N,,
поворот,сери,"б, б",серадул,,,,,,,N,,
подошва,лъол,"б, б",лъолибол,лъолулӏи,лъолибалӏи,,,,,N,,
покой,рахӏат,"б, б",рахӏатол,рахӏатилӏи,,,,,,N,,
покорный,мукъур,,,,,,,,,ADJ,мукъур,Adjective_no_class
покорный,мутӏичи,,,,,,,,,ADJ,мутӏичи,Adjective_no_class
пола,рускӏол,"б, б",рускӏолол,рускӏолулӏи,рускӏолалӏи,,,,,N,,
понадобиться,гьаджатунну,,,,,,,гьаджатун,,V,гьаджатунну<V>:гьаджату[nasal],Verb
понемногу,мичӏи-мичӏи,,,,,,,,,ADV,мичӏи-мичӏи,Adverb_no_class
порог,сарейлӏул,"б, б",сарейлӏулол,сарейлӏулулӏи,сарейлӏулалӏи,,,,,N,,
постоянно,иннагуло,,,,,,,,,ADV,иннагуло,Adverb_no_class
родство,наслу,"б, б",наслодул,,,,,,,N,,
правильный,битӏи,,,,,,"вутӏи, йитӏи, ритӏи",,,ADJ,битӏи:тӏи,Adjective_class_prefix_i_u
прямой,битӏи,,,,,,"вутӏи, йитӏи, ритӏи",,,ADJ,битӏи:тӏи,Adjective_class_prefix_i_u
праздник,паразники,,паразники,,,,,,,N,,
привыкать,ругьунлъери,,,,,,,ругьунлъи,ругьунлъиб,V,ругьунлъери<V>:ругьунлъ[thematic-i],Verb
прохлада,соккуй,,,,,,,,,N,,
прочь,гьервади,,,,,,,,,ADV,гьервади,Adverb_no_class
пятьдесят,иᵸшдуцӏолгу,,,,,,,,,NUM,,
радовать,бергьонну,,,,,,"вергьонний, йергьонний, бергьонний",вергьон,вергьонно,V,"бергьонну<V>:ергь[nasal,causative]",Verb_class_prefix
дробить,хъиннери,,,,,,,хъинни,хъинно,V,"хъиннери<V>:хъинн[thematic-i,transitive]",Verb
работник,хӏалтухъан,"в, в",,,,,,,,N,,
работница,хӏалтухъан,"й, й",,,,,,,,N,,
разбрасывать,гьуршунну,,,,,,,гьуршун,,V,,Verb
развеваться,парпадери,,,,,,,парпади,парпадиб,V,парпадери<V>:парпад[thematic-i],Verb
разбрасывать,шарери,,,,,,,шари,шаро,V,"шарери<V>:шар[thematic-i,transitive]",Verb
разбрасывать,шаршашери,,,,,,,шаршашо,шаршашо,V,"шаршашери<V>:шаршаш[thematic-i,transitive]",Verb
разгружать,бечӏуйдери,,,,,,,бечӏуйди,бечӏуйдо,V,"бечӏуйдери<V>:бечӏуйд[thematic-i,transitive]",Verb
рассказ,хабар,б,,хабарулӏи,,,,,,N,,
прореживать,мичӏчӏирийдери,,,,,,,мичӏчӏирийди,мичӏчӏирийдо,V,"мичӏчӏирийдери<V>:мичӏчӏирийд[thematic-i,transitive]",Verb
прореживать,мичӏчӏируйдери,,,,,,,мичӏчӏируйди,мичӏчӏируйдо,V,"мичӏчӏируйдери<V>:мичӏчӏируйд[thematic-i,transitive]",Verb
редька,талган,"б, б",талгамил,талганлӏи,талгамалӏи,,,,,N,,
ровесник,сер рещинлъол,,,,,,,,,N,,
рогатка,гьинцӏошамшал,"б, б",гьинцӏошамшалол,гьинцӏошамшаллӏи,гьинцӏошамшалалӏи,,,,,N,,
родня,мийарлӏол,"б, б",мийарлӏилъир,,,,,,,N,,
ругань,хьами,"р, р",хьамил,хьамиллӏи,хьамилилӏи,,,,,N,,
рыжий,чади,,,,,,,,,ADJ,чади,Adjective_no_class
рыхлый,лъуна,,,,,,,,,ADJ,лъуна,Adjective_no_class
рядом,лӏеру,,,,,,,,,POST,,
самовар,самавар,"б, б",самаварол,самаварулӏи,самаваралӏи,,,,,N,,
санки,чанагъи,"р, р",чанагъобил,чанагъулӏи,чанагъобалӏи,чанагъуъа,,,,N,,
светлячок,гьечӏодоъо бикуйа,"б, й",гьечӏодоъо йокуйал,,,,,,,N,,
свисток,щомщол,"б, б",щомщолол,щомщолулӏи,щомщолалӏол,,,,,N,,
свой,энлӏигу,,,,,,,,,ADJ,энлӏигу,Adjective_no_class
седьмой,гьолӏулдеб,,,,,,,,,NUM,,
сенокос,хханнийа,"б, б",хханнийол,хханнирлӏи,хханнийолилӏи,,,,,N,,
слабеть,лъуналъери,,,,,,,лъуналъи,лъуналъиб,V,лъуналъери<V>:лъуналъ[thematic-i],Verb
"гормошка, баян, аккардеон",чагъана,,,,,,,,,N,,
следующий,вехудусси,,,,,,"йехудусси, бехудусси, вехудуссол",,,ADJ,бехудусси:ехудусси,Adjective_class_prefix
снова,гьинджесси,,,,,,,,,ADV,гьинджесси,Adverb_no_class
совесть,йахӏнамуси,б,,,,,,,,N,,
сорок,боъоцӏолгу,,,,,,"воъоцӏолгу, йоъоцӏолгу, боъоцӏолгу",,,NUM,,
соседство,реххон,р,,реххоноъа,,,,,,N,,
спереди,сседукку,,,,,,,,,POST,,
сплющиваться,бекӏерхъанну,,,,,,"бекӏерхъанний, рекӏерхъанний, векӏерхъанний, йекӏерхъанний",бекӏерхъан,бекӏерхъанниб,V,,Verb_class_prefix
сплющиваться,чӏчӏуроллу,,,,,,,чӏчӏуролъи,чӏчӏуролло,V,чӏчӏуроллу<V>:чӏчӏур[causative],Verb
спокойный,параъати,,,,,,,,,ADJ,параъати,Adjective_no_class
порядок,адлу,,,,,,,,,N,,
старинный,кьира,,,,,,,,,ADJ,кьира,Adjective_no_class
старинный,сседусси,,,,,,,,,ADJ,сседусси,Adjective_no_class
стебель,маъа,"б, б",маъол,маъулӏи,маъалӏи,,,,,N,,
страх,ссирдир,б,,ссирдиролӏи,,,,,,N,,
строгать,каннери,,,,,,,канни,канно,V,"каннери<V>:канн[thematic-i,transitive]",Verb
струна,чӏол,"р, р",чӏолибол,чӏолуллӏи,чӏолибалӏи,,,,,N,,
теща,илакьору,"й, й",илакьордобил,илакьорулӏи,илакьордобалӏи,,,,,N,,
трудный,реччи,,,,,,,,,ADJ,реччи,Adjective_no_class
комната,гьакъу,"р, р",гьакъобил,гьакъулӏи,гьакъобалӏи,,,,,N,,
дом,гьакъу,"р, р",гьакъобил,гьакъулӏи,гьакъобалӏи,,,,,N,,
сзади,бегьудибасси,,,,,,"вегьудивасси, йегьудийасси, регьудирасси",,,POST,,
целовать,оббадери,,,,,,,оббади,оббадо,V,"оббадери<V>:оббад[thematic-i,transitive]",Verb
целовать,цӏцӏоммери,,,,,,,цӏцӏомми,цӏцӏоммо,V,"цӏцӏоммери<V>:цӏцӏомм[thematic-i,transitive]",Verb
встретиться,бади вуъери,,,,,,,бади вуъоб,бади вуъоб,V,,
крепкий,къвакӏунниб,,,,,,,,,ADJ,къвакӏунниб[b],Adjective_no_class
лампочка,чирахъи,"б, б",чирахъол,чирахъулӏи,чирахъалӏи,,,,,N,,
некрасивый,ригьинто,,,,,,,,,ADJ,ригьинто,Adjective_no_class
плохо,шубссу,,,,,,"шуйссу, шувссу",,,ADV,шубccу:шу :ссу,Adverb_class_internal(2)
сложный,реччи,,,,,,,,,ADJ,реччи,Adjective_no_class
тахта,манги,"б, б",мангил,мангиллӏи,мангилилъол,,,,,N,,
молиться,ккубайдери,,,,,,,ккубайди,ккубайдиб,V,ккубайдери<V>:ккубайд[thematic-i],Verb
колоть,къиннери,,,,,,,къинни,къинниб,V,къиннери<V>:къинн[thematic-i],Verb
колоть,хубери,,,,,,,хуби,хубиб,V,хубери<V>:хуб[thematic-i],Verb
криво,орива,,,,,,,,,ADV,орива,Adverb_no_class
мерка,расон,"р, р",расомил,расонулӏи,расомалӏи,,,,,N,,
разбойник,хъачагъи,"в, в",хъачагъол,хъачагъишуй,хъачагъавул,,,,,N,,
разбойница,хъачагъи,"й, й",хъачагъол,"хъачагъиллӏи,",хъачагъалӏол,,,,,N,,
согласный,рази,,,,,,,,,ADJ,рази,Adjective_no_class
соединять,бацӏери,,,,,,рацӏери,бацӏи,бацӏо,V,"бацӏери<V>:ацӏ[thematic-i,transitive]",Verb_class_prefix
сохнуть,бикъвери,,,,,,"рикъвери, вокъвери",рикъу,бикъуб,V,бикъвери<V>:къв[thematic-u],Verb_class_prefix_i_o
шестьсот,ойлӏибешенугу,,,,,,,,,NUM,,
отдыхать,шаннери,,,,,,,шанни,шанниб,V,шаннери<V>:шанн[thematic-i],Verb
восемьсот,бейлӏибешенугу,,,,,,,,,NUM,,
задвижка,пархил,"р, р",пархилол,пархилулӏи,пархилалӏи,,,,,N,,
заикание,бабадир,,,,,,,,,N,,
обратно,бехудиба,,,,,,"вехудива, йехудийа",,,ADV,бехудиба:ехуди :а,Adverb_class_prefix_and_internal(2)
обратно,беху-бехудиба,,,,,,"веху-вехудива, йеху-йехудийа",,,ADV,бехубехудиба:еху :ехуди :а,Adverb_class_prefix_and_internals(3)
обратно,беху-бекъудиба,,,,,,"веху-векъудива, йеху-йекъудийа",,,ADV,бекъубекъудиба:еху :екъуди :а,Adverb_class_prefix_and_internals(3)
перемирие,рокъир,"б, б",рокъирол,рокъирлӏи,рокъиролӏи,,,,,N,,
невестка,нуса,"й, й",нусибадул,нусаллӏи,нусибадалӏи,,,,,N,,
балалайка,пандур,"б, б",пандурдул,пандурулӏи,пандурдалӏи,,,,,N,,
пандур (народный инструмент),чагур,"б, б",чагурдул,чагурулӏи,чагурдалӏи,,,,,N,,
девятьсот,гьочӏобешенугу,,,,,,,,,NUM,,
домой,ищиба,,,,,,"ищийа, ищива",,,ADV,ищиба:ищи :а,Adverb_class_internal(2)
поскользнуться,чӏчӏарери,,,,,,,чӏчӏари,чӏчӏариб,V,чӏчӏарери<V>:чӏчӏар[thematic-i],Verb
чуду,ингур,"б, б",ингурдол,ингурулӏи,ингурдалӏи,ингоруъа,,,,N,,
веснушка,чӏутӏи,"р, р",чӏутӏилол,чӏутӏиллӏи,чӏутӏилалӏи,,,,,N,,
встать,бичӏчӏери,,,,,,"йичӏчӏиде, бичӏчӏиде, вачӏчӏилде, йачӏчӏилде, бачӏчӏилде",вучӏчӏи,вучӏчӏиб,V,бичӏчӏери<V>:чӏчӏ[thematic-i],Verb_class_prefix_i_a
гадать,палбукъери,,,,,,,палбукъи,палбукъо,V,"палбукъери<V>:палбукъ[thematic-i,transitive]",Verb
гордый,бечӏуха ъайда,,,,,,,,,,,
гордый,пахру,,,,,,,,,ADJ,пахру,Adjective_no_class
доброе утро,вучӏчӏиде,,,,,,"йичӏиде, бичӏиде, вачӏилде, йачӏилде, бачӏилде",,,EXCL,,
мячик,кӏошкӏон,"р, р",кӏошкӏомил,кӏошкӏонулӏи,кӏошкӏомалӏи,,,,,N,,
на улице,гьонхъи,,,,,,,,,ADV,гьонхъи,Adverb_no_class
на улице,къатӏила,,,,,,,,,ADV,къатӏила,Adverb_no_class
